,Unnamed: 0,n_trials,n_accepts,p_acc,duration,N,T,d
0,0,5000,8,0.0016000000759959,9.92998456954956,100,100,1
1,1,5000,1,0.0002000000094994,11.042065858840942,100,100,2
2,2,5000,0,0.0,10.952082633972168,100,100,3
3,3,5000,85,0.0170000009238719,10.710242748260498,200,100,1
4,4,5000,40,0.0080000003799796,12.232247591018677,200,100,2
5,5,5000,0,0.0,12.815433263778688,200,100,3
6,6,5000,711,0.1422000080347061,15.594155550003052,500,100,1
7,7,5000,624,0.1248000040650367,21.34884119033813,500,100,2
8,8,5000,17,0.0034000002779066,21.025447845458984,500,100,3
9,9,5000,1730,0.3460000157356262,29.669500827789307,1000,100,1
10,10,5000,1708,0.3416000306606293,46.24022626876831,1000,100,2
11,11,5000,197,0.0394000001251697,45.55822277069092,1000,100,3
12,12,5000,21,0.0042000003159046,25.79623770713806,250,250,1
13,13,5000,0,0.0,29.97977423667908,250,250,2
14,14,5000,0,0.0,31.341898918151852,250,250,3
15,15,5000,196,0.0392000004649162,37.19670128822327,500,250,1
16,16,5000,0,0.0,51.96031928062439,500,250,2
17,17,5000,0,0.0,50.59583854675293,500,250,3
18,18,5000,1178,0.235600009560585,97.69390511512756,1250,250,1
19,19,5000,6,0.0012000000569969,172.5315670967102,1250,250,2
20,20,5000,2,0.0004000000189989,170.60555219650269,1250,250,3
21,21,5000,2332,0.4664000272750854,301.1385247707367,2500,250,1
22,22,5000,57,0.0114000001922249,551.9326529502869,2500,250,2
23,23,5000,47,0.009400000795722,551.1866862773895,2500,250,3
24,24,5000,53,0.0106000006198883,72.90392088890076,500,500,1
25,25,5000,0,0.0,102.58874893188477,500,500,2
26,26,5000,0,0.0,99.86824369430542,500,500,3
27,27,5000,442,0.0884000062942504,143.7732493877411,1000,500,1
28,28,5000,0,0.0,227.03840947151184,1000,500,2
29,29,5000,0,0.0,223.84047031402588,1000,500,3
30,30,5000,1820,0.3640000224113464,601.790468454361,2500,500,1
31,31,5000,14,0.0028000001329928,1104.08886551857,2500,500,2
32,32,5000,0,0.0,1102.8903758525848,2500,500,3
33,33,5000,2949,0.5898000001907349,2196.175131082535,5000,500,1
34,34,5000,148,0.0296000018715858,4789.526112794876,5000,500,2
35,35,5000,7,0.0014000000664964,4789.361519575119,5000,500,3
36,36,5000,65,0.0130000002682209,285.5472466945648,1000,1000,1
37,37,5000,0,0.0,452.08620524406433,1000,1000,2
38,38,5000,0,0.0,446.6374778747559,1000,1000,3
39,39,5000,513,0.1026000082492828,809.059267282486,2000,1000,1
40,40,5000,0,0.0,1409.4227414131165,2000,1000,2
41,41,5000,0,0.0,1402.85542011261,2000,1000,3
42,42,5000,1969,0.3938000202178955,4396.576150417328,5000,1000,1
43,43,5000,46,0.0092000002041459,9583.762466669084,5000,1000,2
44,44,5000,0,0.0,9585.198552131653,5000,1000,3
0,0,1000,607,0.6070000529289246,3437.631515979767,10000,1000,1
1,1,1000,60,0.0600000023841857,7055.675168037415,10000,1000,2
2,2,1000,0,0.0,7054.630041599274,10000,1000,3
